No_row_of_csv_file,Axis,Description,Note
row317,x,Left_dorsal-lateral_tube_rim_secondary_landmark_01,
row318,x,Left_dorsal-lateral_tube_rim_secondary_landmark_02,
row319,x,Left_dorsal-lateral_tube_rim_secondary_landmark_03,
row320,x,Left_dorsal-lateral_tube_rim_secondary_landmark_04,
row321,x,Left_dorsal-lateral_tube_rim_secondary_landmark_05,
row322,x,Left_dorsal-lateral_tube_rim_secondary_landmark_06,
row323,x,Left_dorsal-lateral_tube_rim_secondary_landmark_07,
row324,x,Left_dorsal-lateral_tube_rim_secondary_landmark_08,
row325,x,Left_dorsal-lateral_tube_rim_secondary_landmark_09,
row326,x,Left_dorsal-lateral_tube_rim_secondary_landmark_10,
row327,x,Left_dorsal-lateral_tube_rim_secondary_landmark_11,
row328,x,Left_dorsal-lateral_tube_rim_secondary_landmark_12,
row329,x,Left_dorsal-lateral_tube_rim_secondary_landmark_13,
row330,x,Left_dorsal-lateral_tube_rim_secondary_landmark_14,
row331,x,Left_dorsal-lateral_tube_rim_secondary_landmark_15,
row332,x,Left_dorsal-lateral_tube_rim_secondary_landmark_16,
row333,x,Left_dorsal-lateral_tube_rim_secondary_landmark_17,
row334,x,Left_dorsal-lateral_tube_rim_secondary_landmark_18,
row335,x,Left_dorsal-lateral_tube_rim_secondary_landmark_19,
row336,x,Left_dorsal-lateral_tube_rim_secondary_landmark_20,
row337,x,Left_dorsal-lateral_tube_rim_secondary_landmark_21,
row338,x,Left_dorsal-lateral_tube_rim_secondary_landmark_22,
row339,x,Left_dorsal-lateral_tube_rim_secondary_landmark_23,
row340,x,Left_dorsal-lateral_tube_rim_secondary_landmark_24,
row341,x,Left_dorsal-lateral_tube_rim_secondary_landmark_25,
row342,x,Left_dorsal-lateral_tube_rim_proximal_end_primary_landmark,
row343,x,Left_lateral-ventral_tube_rim_secondary_landmark_01,
row344,x,Left_lateral-ventral_tube_rim_secondary_landmark_02,
row345,x,Left_lateral-ventral_tube_rim_secondary_landmark_03,
row346,x,Left_lateral-ventral_tube_rim_secondary_landmark_04,
row347,x,Left_lateral-ventral_tube_rim_secondary_landmark_05,
row348,x,Left_lateral-ventral_tube_rim_secondary_landmark_06,
row349,x,Left_lateral-ventral_tube_rim_secondary_landmark_07,
row350,x,Left_lateral-ventral_tube_rim_secondary_landmark_08,
row351,x,Left_lateral-ventral_tube_rim_secondary_landmark_09,
row352,x,Left_lateral-ventral_tube_rim_secondary_landmark_10,
row353,x,Left_lateral-ventral_tube_rim_secondary_landmark_11,
row354,x,Left_lateral-ventral_tube_rim_secondary_landmark_12,
row355,x,Left_lateral-ventral_tube_rim_secondary_landmark_13,
row356,x,Left_lateral-ventral_tube_rim_secondary_landmark_14,
row357,x,Left_lateral-ventral_tube_rim_secondary_landmark_15,
row358,x,Left_lateral-ventral_tube_rim_secondary_landmark_16,
row359,x,Left_lateral-ventral_tube_rim_secondary_landmark_17,
row360,x,Left_lateral-ventral_tube_rim_secondary_landmark_18,
row361,x,Left_lateral-ventral_tube_rim_secondary_landmark_19,
row362,x,Left_lateral-ventral_tube_rim_secondary_landmark_20,
row363,x,Left_lateral-ventral_tube_rim_secondary_landmark_21,
